Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
Curacao,CUW,100,..,23649.591653431,10.972850678733,100,100,8.6646455403795,91.3353544596205,359.603603603604
Cyprus,CYP,100,0.926266729831696,35246.90234375,5.38162471864129,100,100,33.0374395893769,66.9625604106231,133.88658008658
Czechia,CZE,100,1.00811576843262,36445.0485732064,4.89743004957448,100,100,27.0254246604377,72.9745753395623,136.851858567543
Denmark,DNK,100,1.82117700576782,51820.9521305491,6.1300674569389,100,100,12.3000030517578,87.6999969482422,143.20025
Djibouti,DJI,29.5,-1.039555311203,4431.56588556176,..,68.6,59.8,28.8507763658959,71.1492236341041,44.7650129421915
Dominica,DMA,..,0.168494433164597,12945.0029571643,..,..,97.8,29.7488394269459,70.2511605730541,92.808
Dominican Republic,DOM,95,-0.290739774703979,16282.1899127514,12.9052969502408,99.9,98.9,25.9493219264478,74.0506780735522,218.410888014904
Ecuador,ECU,96.8,-0.383570671081543,10881.4890706732,12.8107494599641,99.8,98.7,37.0086632428196,62.9913367571804,66.4565107102593
"Egypt, Arab Rep.",EGY,100,-0.536168873310089,10665.6676499685,20.5002454771495,100,100,57.4789282733775,42.5210717266225,102.109185795369
El Salvador,SLV,90.3,-0.343923270702362,8455.61614773975,13.4824071029267,98.4,96,29.6009826660156,70.3990173339844,299.266409266409
Equatorial Guinea,GNQ,4.1,-1.16436994075775,16649.4757672359,11.3018597997139,91.4,66.2,30.746730146949,69.253269853051,53.7677718360071
Eritrea,ERI,28,-1.7815113067627,..,12.6811594202899,76.7,46.9,64.4745712280273,35.5254287719727,25.8074296058691
Estonia,EST,100,1.05459797382355,31947.7769107437,5.94132632097954,100,100,31.275961821922,68.724038178078,30.2689210950081
Eswatini,SWZ,58.1,-0.542009234428406,8484.12117278345,55.9659090909091,81,63.4,76.4721118253644,23.5278881746356,66.8318023255814
Ethiopia,ETH,32.4,-0.714294850826263,1857.54946515224,20.6767515923567,85.4,42.9,80.1236381530762,19.8763618469238,94.5614799764478
Faroe Islands,FRO,100,..,54318.3039321893,..,100,100,61.6799774169922,38.3200225830078,35.432664756447
Fiji,FJI,89.3,-0.280381351709366,11765.5379892236,..,96.7,93.4,44.8265279026126,55.1734720973874,50.3101258894362
Finland,FIN,100,1.84161901473999,44562.4011072067,3.76107159998255,100,100,28.3841616571829,71.6158383428171,18.0820078312658
France,FRA,100,1.38062357902527,42880.2351355431,6.63889095553406,100,100,21.4000885294221,78.5999114705779,123.803885332591
French Polynesia,PYF,100,..,..,..,100,100,38.2255618630349,61.7744381369651,80.431575914722
Gabon,GAB,18.9,-0.832691252231598,13997.7352841911,16.5422396856582,97,88.1,11.4554116593822,88.5445883406178,8.15114681569449
"Gambia, The",GMB,30,-0.937365174293518,2012.67648180251,..,74,56.4,40.1347527513437,59.8652472486563,225.668873517787
Georgia,GEO,100,0.420896291732788,13065.294157468,6.77380335234145,100,100,42.3015967994938,57.6984032005062,65.2140557752196
Germany,DEU,100,1.66018795967102,51569.9016841199,3.96018750124914,100,100,19.1652129315275,80.8347870684725,235.712929356538
